formula,name,category,information,Reference,Hydrogen_storage,optimum_Hydrogen_storage,method,image
Zn(bdc)(ted)0.5.2DMF.0.2H2O,Zn(bdc)(ted)0.5.2DMF.0.2H2O,"Porous material, physical forces, single-crystal","Tetragonal, (P4/ncc) a = 14.8999(4) ?, alpha = 90 deg. b = 14.8999(4) ?, beta = 90 deg. c = 19.1369(2) ?, gamma = 90 deg.","1. J. Phys. Chem. C 2008, 112, 2911-2917.","77K, 1 bar: 2.1%.",2.1,Solovthermal,['http://www.hydrsm.csdb.cn/chuqing/00137g1.png']
"Zn(NDC)(4,4'-Bpe)0.5.2.25DMF.0.5H2O","Zn(NDC)(4,4'-Bpe)0.5.2.25DMF.0.5H2O","Porous material, physical forces, single-crystal","Monoclinic, (P21/c) a = 16.1578(5) ?, alpha = 90 deg. b = 18.8070(6) ?, beta = 92.6150(10) deg. c = 18.1039(5) ?, gamma = 90 deg.","1. Inorg. Chem. 2006, 45, 5718-5720","77K, 1 bar: 0.80%; 40 bar: 2.0%; 298K, 65 bar: 0.3%.",2,Solovthermal,"['http://www.hydrsm.csdb.cn/chuqing/00138g1.png', 'http://www.hydrsm.csdb.cn/chuqing/00138g2.png']"
In2Zn3(IM)12,ZIF-5gar,"Porous material, physical forces, single-crystal","Cubic, (Ia-3d) a = 21.9619 (6) ?, alpha = 90 deg. b = 21.9619 (6) ?, beta = 90 deg. c = 21.9619 (6) ?, gamma = 90 deg.","1. Natl. Acad. Sci. U.S.A., 2006, 103, 10186-10191.",,,Solovthermal,"['http://www.hydrsm.csdb.cn/chuqing/00127g1.png', 'http://www.hydrsm.csdb.cn/chuqing/00127g2.png', 'http://www.hydrsm.csdb.cn/chuqing/00127g3.png']"
Zn(MeIM)2.(DMF).(H2O)3,ZIF-8sod,"Porous material, physical forces, single-crystal","Cubic, (I-43m) a = 16.9910 (1) ?, alpha = 90 deg. b = 16.9910 (1) ?, beta = 90 deg. c = 16.9910 (1) ?, gamma = 90 deg.","1. Natl. Acad. Sci. U.S.A., 2006, 103, 10186-10191. 2. J. Phys. Chem. C 2007, 111, 16131-16137.","77K, 1 bar: 1.29%, 55bar: 3.1%; 77K, 1 bar: 1.3%, 30bar: 3.3%; 298K, 30 bar: 0.13%.",3.3,Solovthermal,"['http://www.hydrsm.csdb.cn/chuqing/00130g1.png', 'http://www.hydrsm.csdb.cn/chuqing/00130g2.png', 'http://www.hydrsm.csdb.cn/chuqing/00130g3.png']"
Zn(PhIM)2.(H2O)3,ZIF-7sod,"Porous material, physical forces, single-crystal","Hexagonal, (R-3) a = 22.989 (3) ?, alpha = 90 deg. b = 22.989 (3) ?, beta = 90 deg. c = 15.763 (3) ?, gamma = 120 deg.","1. Natl. Acad. Sci. U.S.A., 2006, 103, 10186-10191.",,,Solovthermal,[]
Zn(IM)2,ZIF-6gar,"Porous material, physical forces, single-crystal","Tetragonal, (I41/amd) a = 18.515 (3) ?, alpha = 90 deg. b = 18.515 (3) ?, beta = 90 deg. c = 20.245 (4) ?, gamma = 90 deg.","1. Natl. Acad. Sci. U.S.A., 2006, 103, 10186-10191.",,,Solovthermal,"['http://www.hydrsm.csdb.cn/chuqing/00128g1.png', 'http://www.hydrsm.csdb.cn/chuqing/00128g2.png', 'http://www.hydrsm.csdb.cn/chuqing/00128g3.png']"
Co3[Co(CN)5]2,Co3[Co(CN)5]2,"Porous material, physical forces, single-crystal",,"1. Catal. Today, 2007, 120, 311-316.","77K, 1bar:1.8%",1.8,,['http://www.hydrsm.csdb.cn/chuqing/00189g1.png']
Mn3[Co(CN)6]2,Mn3[Co(CN)6]2,"Porous material, physical forces, single-crystal",,"1. J. Am. Chem. Soc. 2005, 127, 6506-6507.","77K, 1bar:1.6%",1.6,,[]
Mn(BH4)2,Mn(BH4)2,Complex hydride,"hexagonal a = 10.435 (1) ?, alpha = 90 deg. b = 10.435 (1) ?, beta = 90 deg. c = 10.835 (2) ?, gamma = 120 deg.","1. J. Phys. Chem. C 2009, 113, 9003�9007",,,"2 MBH4 (M = Li, Na ) + MnCl2 ball milling? �..",['http://www.hydrsm.csdb.cn/chuqing/00219g1.png']
MgCa(NH)2,MgCa(NH)2,Complex hydride,Cubic (Fm-3m),"1. Eur. J. Inorg. Chem. 2006, 4368�4373",Mg(NH2)2 + CaH2 ? [MgCa(NH)2] + 2H2 4.0 wt%,4,Mg(NH2)2 + CaH2 ball milling? �..,['http://www.hydrsm.csdb.cn/chuqing/00220g1.png']
H2Zn3[Fe(CN)6]2.2H2O,H2Zn3[Fe(CN)6]2.2H2O,"Porous material, physical forces, single-crystal",,"1. Chem. Commun., 2007, 4486-4488.","77K, 1.19bar:1.1%",1.1,,['http://www.hydrsm.csdb.cn/chuqing/00198g1.png']
Zn3Cs2[Ru(CN)6]2.6H2O,Zn3Cs2[Ru(CN)6]2.6H2O,"Porous material, physical forces, single-crystal","Rhombohedral, (R-3c) a = b = 12.8046(4)?, c = 33.3931(5)?","1. J. Phys. Chem. C 2008, 112, 17443�17449.","75K, 1bar:1.11%",1.11,,['http://www.hydrsm.csdb.cn/chuqing/00210g1.png']
Na2Zn3[Fe(CN)6]2,Na2Zn3[Fe(CN)6]2,"Porous material, physical forces, single-crystal",,"1. Chem. Commun., 2007, 4486-4488.","77K, 1.19bar:1.2%",1.2,,['http://www.hydrsm.csdb.cn/chuqing/00200g1.png']
Li2Zn3[Fe(CN)6]2.2H2O,Li2Zn3[Fe(CN)6]2.2H2O,"Porous material, physical forces, single-crystal",,"1. Chem. Commun., 2007, 4486-4488.","77K, 1.19bar:1.1%",1.1,,['http://www.hydrsm.csdb.cn/chuqing/00199g1.png']
LiBH4+MgH2,LiBH4+MgH2,Complex hydride,,"Computer Coupling of Phase Diagrams and Thermochemistry 2006, 30, 65-69.",11.50%,11.5,,[]
LiH+Si,LiH+Si,Complex hydride,,"Computer Coupling of Phase Diagrams and Thermochemistry 2006, 30, 65-69.",4.10%,4.1,,[]
MgH2+Al,MgH2+Al,Complex hydride,,"Computer Coupling of Phase Diagrams and Thermochemistry 2006, 30, 65-69.",3.0%,3,,[]
LiH+Si,LiH+Si,Complex hydride,,"Computer Coupling of Phase Diagrams and Thermochemistry 2006, 30, 65-69.",5.0%,5,,[]
MgH2+Si,MgH2+Si,Complex hydride,,"Computer Coupling of Phase Diagrams and Thermochemistry 2006, 30, 65-69.",5.0%,5,,[]
NaMgH3,NaMgH3,Complex hydride,"Orthorhombic (Pnma) a = 5.4525 ?, alpha = 90 deg. b = 7.6952 ?, beta = 90 deg. c = 5.3683 ?, gamma = 90 deg.","1. J. Alloys Compd, 2007, 446-447, 44-47.",,,,['http://www.hydrsm.csdb.cn/chuqing/00225g1.png']
NaBeH3,NaBeH3,Complex hydride,"Cubic (Pm-3m) a = 2.3662 ?, alpha = 90 deg. b = 2.3662 ?, beta = 90 deg. c = 2.3662 ?, gamma = 90 deg.","1. J. Alloys Compd, 2007, 446-447, 44-47.",,,,['http://www.hydrsm.csdb.cn/chuqing/00224g1.png']
NaNH2BH3,NaAB,Complex hydride,"Orthorhombic (Pbca) a = 7.46931(7) ?, alpha = 90 deg. b = 14.65483(16) ?, beta = 90 deg. c = 5.65280(8) ?, gamma = 90 deg.","1. Nat. Mater., 2008, 7, 138�141 ?2. Energy Environ. Sci., 2008, 1, 360�363","NaNH2BH3 ? NaH + BN + 2H2, 91 ?, 7.5 wt.% By using volumetric release",7.5,NH3BH3 (s)+NaH (s) ? NaNH2BH3 (s)+H2 (g) By ball milling method,['http://www.hydrsm.csdb.cn/chuqing/00223g1.png']
LiNH2BH3,LiAB,Complex hydride,"Orthorhombic (Pbca) a = 7.11274(6) ?, alpha = 90 deg. b = 13.94877(14) ?, beta = 90 deg. c = 5.15018(6) ?, gamma = 90 deg.","1. Nat. Mater., 2008, 7, 138�141 2. Chem. Commun., 2008, 5595�5597","LiNH2BH3 ? LiNBH + 2H2, 91 ?, 10.9 wt.% By using volumetric release",10.9,NH3BH3 (s)+LiH (s) ? LiNH2BH3 (s)+H2 (g) By ball milling method,['http://www.hydrsm.csdb.cn/chuqing/00222g1.png']
NH3BH3,AB,Complex hydride,,"1. Energy Environ. Sci., 2008, 1, 479�483 2. Dalton Trans., 2007, 2613�2626","H3NBH3 ?H2NBH2 + H2 (1) H2NBH2 ?HNBH + H2 (2) 200 ?, 13 wt.%",13,(NH4)2SO4 + 2NaBH4 ? AB in organic solvent such as THF at room temperature,['http://www.hydrsm.csdb.cn/chuqing/00221g1.png']
RbBH4,RbBH4,Complex hydride,"Cubic (Fm-3m) (295 K) a = b = c = 7.0293(1) ?, alpha = beta = gamma = 90 deg. Cubic (Fm-3m) (10 K) a = b = c = 6.9282(1) ?, alpha = beta = gamma = 90 deg.","1. J. Alloys Compd. 2004, 375, 98-106. 2. J. Alloys Compd. 2004, 363, 126-129.",,,RbOH穢H2O + NaBH4,['http://www.hydrsm.csdb.cn/chuqing/00239g1.png']
CsBH4,CsBH4,Complex hydride,"Cubic (Fm-3m) (295 K) a = b = c = 7.4098(2) ?, alpha = beta = gamma = 90 deg. Cubic (Fm-3m) (10 K) a = b = c = 7.3151(2) ?, alpha = beta = gamma = 90 deg.","1. J. Alloys Compd. 2004, 375, 98-106. 2. J. Alloys Compd. 2004, 363, 126-129.",,,CsOH稨2O + NaBH4,['http://www.hydrsm.csdb.cn/chuqing/00240g1.png']
KBH4,KBH4,Complex hydride,"Cubic (Fm-3m) (295 K) a = b = c = 6.7306(1) ?, alpha = beta = gamma = 90 deg. Tetragonal (P42/nmc) (10 K) a = b = 4.7004(2) ?, c = 6.5979(3) ?, alpha = beta = gamma = 90 deg.","1. J. Alloys Compd. 2004, 375, 98-106. 2. J. Alloys Compd. 2004, 363, 126-129.",,,purchase,['http://www.hydrsm.csdb.cn/chuqing/00238g1.png']
NaZn2(BH4)3,NaZn2(BH4)3,Complex hydride,"Triclinic (P21/c) a = 8.2714(16) ?, alpha = 90 deg. b = 4.5240(7) ?, beta = 101.689(11) deg. c = 18.757(3) ?, gamma = 90 deg.","1. Angew. Chem. Int. Ed. 2009, 48, 6659-6663.",,,3 NaBH4 + ZnCl2 = NaZn(BH4)3 + 2 NaCl ball milling,['http://www.hydrsm.csdb.cn/chuqing/00236g1.png']
LiSc(BH4)4,LiSc(BH4)4,Complex hydride,"Tetragonal (P-42c) a = 6.076 ?, alpha = 90 deg. b = 6.076 ?, beta = 90 deg. c = 12.034 ?, gamma = 90 deg.","1. J. Phys. Chem. A 2008, 112, 7551-7555.","529K, 14.4%",14.4,LiBH4 + ScCl2 ball milling,['http://www.hydrsm.csdb.cn/chuqing/00237g1.png']
NaZn2(BH4)5,NaZn2(BH4)5,Complex hydride,"Triclinic (P21/c) a = 9.397(2) ?, alpha = 90 deg. b = 16.635(3) ?, beta = 112.658(19) deg. c = 9.1359(16) ?, gamma = 90 deg.","1. Angew. Chem. Int. Ed. 2009, 48, 6659-6663.",,,5 NaBH4 + 2 ZnCl2 = NaZn2(BH4)5 + 4 NaCl ball milling,['http://www.hydrsm.csdb.cn/chuqing/00235g1.png']
LiZn2(BH4)5,LiZn2(BH4)5,Complex hydride,"Orthorhombic (Cmca) a = 8.6244(3) ?, alpha = 90 deg. b = 17.8970(8) ?, beta = 90 deg. c = 15.4114(8) ?, gamma = 90 deg.","1. Angew. Chem. Int. Ed. 2009, 48, 6659-6663.",,,5 LiBH4 + 2 ZnCl2 = LiZn2(BH4)5 + 4 LiCl ball milling,['http://www.hydrsm.csdb.cn/chuqing/00234g1.png']
?-Li3AlH6,?-Li3AlH6,Complex hydride,"trigonal (R-3) a = 8.0487 ?, alpha = 90 deg. b = 8.0487 ?, beta = 90 deg. c = 9.4532 ?, gamma = 90 deg.","1. J. Alloys Compd, 2005, 404-406, 377-383.",,,3LiAlH4 = Li3AlH6 + 2Al + 3H2,['http://www.hydrsm.csdb.cn/chuqing/00233g1.png']
LiBH4+Al,LiBH4+Al,Complex hydride,,"Computer Coupling of Phase Diagrams and Thermochemistry 2006, 30, 65-69.",8.60%,8.6,,[]
NaBH4+Al,NaBH4+Al,Complex hydride,,"Computer Coupling of Phase Diagrams and Thermochemistry 2006, 30, 65-69.",5.8%,5.8,,[]
Ni[Fe(CN)5NO],Ni[Fe(CN)5NO],"Porous material, physical forces, single-crystal",,"1. J. Phys. Chem. B 2006, 110, 8325-8328.","77K, 1bar:1.68%",1.68,,['http://www.hydrsm.csdb.cn/chuqing/00197g1.png']
Co[Fe(CN)5NO],Co[Fe(CN)5NO],"Porous material, physical forces, single-crystal",,"1. J. Phys. Chem. B 2006, 110, 8325-8328.","77K, 1bar:1.61%",1.61,,['http://www.hydrsm.csdb.cn/chuqing/00196g1.png']
Zn3[Co(CN)6]2,Zn3[Co(CN)6]2,"Porous material, physical forces, single-crystal",,"1. J. Am. Chem. Soc. 2005, 127, 6506-6507.","77K, 1bar:1.4%",1.4,,[]
Cu3[Co(CN)6]2,Cu3[Co(CN)6]2,"Porous material, physical forces, single-crystal",,"1. J. Am. Chem. Soc. 2005, 127, 6506-6507.","77K, 1bar:1.8%",1.8,,[]
Ni3[Co(CN)6]2,Ni3[Co(CN)6]2,"Porous material, physical forces, single-crystal",,"1. J. Am. Chem. Soc. 2005, 127, 6506-6507.","77K, 1bar:1.4%",1.4,,[]
Fe3[Co(CN)6]2,Fe3[Co(CN)6]2,"Porous material, physical forces, single-crystal",,"1. J. Am. Chem. Soc. 2005, 127, 6506-6507.","77K, 1 bar:1.4%",1.4,,[]
Co3[Co(CN)6]2,Co3[Co(CN)6]2,"Porous material, physical forces, single-crystal",,"1. J. Am. Chem. Soc. 2005, 127, 6506-6507.","77K, 1bar:1.5%",1.5,,[]
Li4BH4(NH2)3,Li4BH4(NH2)3,Complex hydride,"Cubic (I213) a = 10.66445 (1) ?, alpha = 90 deg. b = 10.66445 (1) ?, beta = 90 deg. c = 10.66445 (1) ?, gamma = 90 deg.","1. Chem. Commun., 2006, 2439�2441",,,LiBH4 + 3 LiNH2 heating at 100?,['http://www.hydrsm.csdb.cn/chuqing/00218g1.png']
Li2BH4NH2,Li2BH4NH2,Complex hydride,"Hexagonal a = 14.48037(28) ?, alpha = 90 deg. b = 14.48037(28) ?, beta = 90 deg. c = 9.24483(30) ?, gamma = 120 deg.","1. Chem. Commun., 2007, 4770-4772 2. J. Phys. Chem. B, 2006, 110, 4186-4192",400 K: 11wt% (TGA);厖.,11,LiBH4 + LiNH2 quenching at 190?,['http://www.hydrsm.csdb.cn/chuqing/00217g1.png']
Li2Ca(NH)2,Li2Ca(NH)2,Complex hydride,Trigonal (P-3m1) a = 3.5664 (3) ? alpha = 90 deg. b = 3.5664 (3) ? beta = 90 deg. c = 5.9540 (8) ? gamma = 90 deg.,"1. Inorg. Chem. 2007, 46, 517-521",CaH2 + 2 LiNH2 ? Li2Ca(NH)2 + 2 H2 4.5wt% (TG) 300?,4.5,CaH2 + 2 LiNH2 ?Li2Ca(NH)2 + 2 H2 (TG) 300?,['http://www.hydrsm.csdb.cn/chuqing/00215g1.png']
Li2Mg(NH)2,Li2Mg(NH)2,Complex hydride,"Tetragonal (Fm-3m) a = 3.5664 ?, alpha = 90 deg. b = 3.5664 ?, beta = 90 deg. c = 5.9540 ? gamma = 90 deg.","1. Adv. Mater. 2004, 16, 1522-1525. 2. Appl. Phys. Lett. 2007, 91, 091924.",Mg(NH2)2+ 2 LiH ? Li2Mg(NH)2 + 2 H2 5.5wt% (PCT) 180?,5.5,Mg(NH2)2+ 2 LiH ? Li2Mg(NH)2 + 2 H2 5.5wt% (PCT) 180?,['http://www.hydrsm.csdb.cn/chuqing/00216g1.png']
?-Ca(BH4)2,Ca(BH4)2,Complex hydride,Orthorhombic a = 6.9241 (2) ? alpha = 90 deg. b = 6.9241 (2) ? beta = 90 deg. c = 4.3492 (1) ? gamma = 90 deg.,"1. Phys. Review B 2009, 79, 104107 2. J. Power Sources 2008, 181, 140-143 3. J. Phys. Chem. C 2008, 112, 2743-2749",800 K: 9.0wt% (TG),9,1. Hydrogenation of CaH2+MgB2 Composite 2. Heating commercial Ca(BH4)2�2THF powders under vacu,['http://www.hydrsm.csdb.cn/chuqing/00214g1.png']
[Co2(bdc)2(ted)].2DMF.3H2O,[Co2(bdc)2(ted)].2DMF.3H2O,"Porous material, physical forces, single-crystal","Tetragonal, (I4/mcm) a = 15.1644(3) ?, alpha = 90 deg. b = 15.1644(3) ?, beta = 90 deg. c = 19.0430(6) ?, gamma = 90 deg.","1. Anorg. Allg. Chem. 2008, 634, 845-847.","298K, 10 bar: 0.03%.",0.03,,['http://www.hydrsm.csdb.cn/chuqing/00180g1.png']
LiBH4,LiBH4,Complex hydride,Orthorhombic a = 6.8000 ? alpha = 90 deg. b = 4.4400 ? beta = 90 deg. c = 7.2600 ? gamma = 90 deg. 厖,"1. J. Alloy. Compd. 2003, 356, 515-520. 2. J. Phys. Chem. B 2005, 109 (9), 3719-3722.厖",900 K: 13.5wt% (TPD);厖.,13.5,Ball milling? �..,"['http://www.hydrsm.csdb.cn/chuqing/00212g1.png', 'http://www.hydrsm.csdb.cn/chuqing/00212g2.png']"
?-Ca(BH4)2,?-Ca(BH4)2,Complex hydride,Orthorhombic a = 8.772 (6) ? alpha = 90 deg. b = 13.118 (7) ? beta = 90 deg. c = 7.496 (4) ? gamma = 90 deg.,"1. Phys. Review B 2009, 79, 104107 2. J. Power Sources 2008, 181, 140-143 3. J. Phys. Chem. C 2008, 112, 2743-2749",800 K: 9.0wt% (TG);厖.,9,1. Hydrogenation of CaH2+MgB2 Composite 2. Heating commercial Ca(BH4)2�2THF powders under vacu,['http://www.hydrsm.csdb.cn/chuqing/00213g1.png']
Zn3Cs2[Os(CN)6]2.5.6H2O,Zn3Cs2[Os(CN)6]2.5.6H2O,"Porous material, physical forces, single-crystal","Rhombohedral, (R-3c) a = b = 12.7830(7)?, c = 33.5318(1)?","1. J. Phys. Chem. C 2008, 112, 17443�17449.","75K, 1bar:1.1%",1.1,,['http://www.hydrsm.csdb.cn/chuqing/00211g1.png']
[In3O(C16N2O8H6)1.5(H2O)3](H2O)3(NO3),soc-MOF,"Porous material, physical forces, single-crystal","Cubic, (P-34n) a = 22.4567(11) ?, alpha = 90 deg. b = 22.4567(11) ?, beta = 90 deg. c = 22.4567(11) ?, gamma = 90 deg.","1. Angew. Chem. Int. Ed. 2007, 46, 3278-3283. 2. J. Am. Chem. Soc. 2007, 129, 15202-15210.","77K, 1 bar: 2.61%.",2.61,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00179g1.png']
Zn2(CNC)2(DPT).(DMF)1.5(H2O),Zn2(CNC)2(DPT).(DMF)1.5(H2O),"Porous material, physical forces, single-crystal","Triclinic, (P1) a = 7.9273(16) ?, alpha = 107.26(3) deg. b = 10.556(2) ?, beta = 107.06(3) deg. c = 13.155(3) ?, gamma = 90.65(3) deg.","1. Inorg. Chem. 2008, 47, 6825-6828.","77K, 1 bar: 1.28%.",1.28,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00176g1.png']
Y(BTC)(H2O).4.3H2O,Y(BTC)(H2O).4.3H2O,"Porous material, physical forces, single-crystal","Tetragonal, (P4322) a = 10.223(3) ?, alpha = 90 deg. b = 10.223(3) ?, beta = 90 deg. c = 14.493(5) ?, gamma = 90 deg.","1. J. Am. Chem. Soc. 2008, 130, 9626�9627.","77K, 1 bar: 1.57%.",1.57,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00177g1.png']
Pd(F-pymo)2,Pd(F-pymo)2,"Porous material, physical forces, single-crystal","Cubic, (Pn-3m) a = 16.2957(8) ?, alpha = 90 deg. b = 16.2957(8) ?, beta = 90 deg. c = 16.2957(8) ?, gamma = 90 deg.","1. J. Mater. Chem., 2007, 17, 1939-1946","77K, 1 bar: 1.15%.",1.15,,['http://www.hydrsm.csdb.cn/chuqing/00178g1.png']
"[Cu2(ABTC)(H2O)2]3.6(1,4-dioxane).10DMF",[Cu2(ABTC)(DMF)2]3(SNU-5'),"Porous material, physical forces, single-crystal","Monoclinic, (I2/m) a = 23.1092(6) ?, alpha = 90 deg. b = 18.8031(5) ?, beta = 105.325(2) deg. c = 29.8062(6) ?, gamma = 90 deg.","1. Angew. Chem. Int. Ed. 2008, 47, 7741-7745.","77K, 1 bar: 1.83%.",1.83,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00172g1.png']
[Zn2(ABTC)(DMF)2]3.4H2O.10DMF,[Zn2(ABTC)(DMF)2]3(SNU-4),"Porous material, physical forces, single-crystal","Monoclinic, (C2/c) a = 33.540(7) ?, alpha = 90 deg. b = 19.607(4) ?, beta = 120.30(3) deg. c = 21.705(4) ?, gamma = 90 deg.","1. Angew. Chem. Int. Ed. 2008, 47, 7741-7745.","77K, 1 bar: 2.07%; 77K, 50 bar: 3.70%.",3.7,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00171g1.png']
Zn3Cs2[Fe(CN)6]2.6.8H2O,Zn3Cs2[Fe(CN)6]2.6.8H2O,"Porous material, physical forces, single-crystal","Rhombohedral, (R-3c) a = b = 12.4841(3)?, c = 32.832(4)?","1. J. Phys. Chem. C 2008, 112, 17443�17449.","75K, 1bar:0.95%",0.95,,['http://www.hydrsm.csdb.cn/chuqing/00209g1.png']
Zn(tbip),Zn(tbip),"Porous material, physical forces, single-crystal","Trigonal, (R-3m) a = 28.863(4) ?, alpha = 90 deg. b = 28.863(4) ?, beta = 90 deg. c = 7.977(2) ?, gamma = 90 deg.","1. J. Am. Chem. Soc. 2006, 128, 4180-4181.","77K, 1 bar: 0.75%.",0.75,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00174g1.png']
Zn2(btatb)(DMF)2,Zn2(btatb)(DMF)2,"Porous material, physical forces, single-crystal","Orthorhombic, (Imma) a = 21.6546(16) ?, alpha = 90 deg. b = 30.901(2) ?, beta = 90 deg. c = 9.2945(8) ?, gamma = 90 deg.","1. Inorg. Chem. 2008, 47, 10223-10225.","77K, 1 bar: 2.2%.",2.2,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00175g1.png']
Zn3Rb2[Os(CN)6]2.5.6H2O,Zn3Rb2[Os(CN)6]2.5.6H2O,"Porous material, physical forces, single-crystal","Rhombohedral, (R-3c) a = b = 12.8289(2)?, c = 32.9920(5)?","1. J. Phys. Chem. C 2008, 112, 17443�17449.","75K, 1bar:1.4%",1.4,,['http://www.hydrsm.csdb.cn/chuqing/00208g1.png']
"[Cu2(ABTC)(H2O)2]3.6(1,4-dioxane).10DMF",[Cu2(ABTC)]3(SNU-5),"Porous material, physical forces, single-crystal","Monoclinic, (I2/m) a = 23.1092(6) ?, alpha = 90 deg. b = 18.8031(5) ?, beta = 105.325(2) deg. c = 29.8062(6) ?, gamma = 90 deg.","1. Angew. Chem. Int. Ed. 2008, 47, 7741-7745.","77K, 1 bar: 2.87%; 77K, 50 bar: 5.22%.",5.22,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00173g1.png']
